ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
193.32.162.82,27,1,0.5,0.5,1.4826,0.0,1.9826,1.9826,LOW,LOW,0,0,27,1.0,30185.16378439665,1,1,0,NORMAL,NO_ACTION,NO_ACTION
173.249.41.171,40,1,0.0,1.9506,1.9824,0.0,1.9824,3.933,LOW,LOW,41,0,43,0.9302325581395349,41237.79470080137,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
187.141.71.166,40,1,0.0,1.9506,1.9824,0.0,1.9824,3.933,LOW,LOW,41,0,43,0.9302325581395349,49457.61258194844,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
36.189.207.209,2,2,0.8822,0.8822,0.5,0.585,1.9672,1.9672,LOW,LOW,0,0,2,1.0,23399.46536766688,1,1,0,NORMAL,NO_ACTION,NO_ACTION
36.50.43.34,2,2,0.8822,0.8822,0.5,0.585,1.9672,1.9672,LOW,LOW,0,0,1,2.0,0.016899299621582032,2,2,0,NORMAL,NO_ACTION,NO_ACTION
128.199.204.10,2,2,0.8822,1.7644,0.5,0.585,1.9672,2.8494,LOW,LOW,0,1,1,2.0,0.04824576377868652,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
35.189.174.222,3,3,0.3381,0.3381,0.6218,1.0,1.9599,1.9599,LOW,LOW,0,0,11,0.2727272727272727,24.679743234316508,1,1,0,NORMAL,NO_ACTION,NO_ACTION
77.7.88.87,4,2,0.6397,1.5219,0.7213,0.585,1.9459,2.8281,LOW,LOW,0,1,4,1.0,0.06119304895401001,4,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
64.92.6.70,4,2,0.6397,1.5219,0.7213,0.585,1.9459,2.8281,LOW,LOW,0,1,4,1.0,0.050716153780619305,4,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
177.253.168.2,4,2,0.6397,1.5219,0.7213,0.585,1.9459,2.8281,LOW,LOW,0,1,4,1.0,0.06047336657842,4,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
198.1.93.192,30,1,0.3381,0.3381,1.5872,0.0,1.9253,1.9253,LOW,LOW,0,0,30,1.0,45775.30248769919,1,1,0,NORMAL,NO_ACTION,NO_ACTION
157.230.88.131,28,1,0.4222,0.4222,1.5,0.0,1.9222,1.9222,LOW,LOW,0,0,28,1.0,7.182072667280833,2,8,0,NORMAL,NO_ACTION,NO_ACTION
34.146.210.249,3,3,0.2941,0.2941,0.6218,1.0,1.9158,1.9158,LOW,LOW,0,0,3,1.0,712.9699316342671,2,2,0,NORMAL,NO_ACTION,NO_ACTION
94.156.221.46,38,1,0.0,1.9382,1.9082,0.0,1.9082,3.8464,LOW,LOW,39,0,38,1.0,16718.37000736793,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
52.172.177.191,38,1,0.0,1.9625,1.9082,0.0,1.9082,3.8707,LOW,LOW,43,0,41,0.926829268292683,48675.38046571811,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
121.168.139.251,38,1,0.0,1.9382,1.9082,0.0,1.9082,3.8464,LOW,LOW,39,0,40,0.95,58337.34929838181,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
182.93.50.90,38,1,0.0,1.9738,1.9082,0.0,1.9082,3.882,LOW,LOW,45,0,40,0.95,30480.20244605144,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
148.66.132.204,38,1,0.0,1.9382,1.9082,0.0,1.9082,3.8464,LOW,LOW,39,0,41,0.926829268292683,124615.77227209807,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
37.143.61.84,38,1,0.0,1.9382,1.9082,0.0,1.9082,3.8464,LOW,LOW,39,0,39,0.9743589743589743,7635.754932483037,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
5.181.124.105,38,1,0.0,1.9382,1.9082,0.0,1.9082,3.8464,LOW,LOW,39,0,57,0.6666666666666666,14.538129349549612,2,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
94.159.110.201,24,1,0.4547,0.4547,1.4274,0.0,1.882,1.882,LOW,LOW,0,0,64,0.375,10524.606230700016,1,1,0,NORMAL,NO_ACTION,NO_ACTION
111.223.188.134,6,3,0.0,0.0,0.8782,1.0,1.8782,1.8782,LOW,LOW,0,0,2,3.0,0.1135841687520345,4,6,0,NORMAL,NO_ACTION,NO_ACTION
27.74.248.52,6,3,0.0,0.0,0.8782,1.0,1.8782,1.8782,LOW,LOW,0,0,2,3.0,0.4920852502187093,5,6,0,NORMAL,NO_ACTION,NO_ACTION
162.144.34.123,29,1,0.3199,0.3199,1.544,0.0,1.8638,1.8638,LOW,LOW,0,0,29,1.0,43855.4187079827,1,1,0,NORMAL,NO_ACTION,NO_ACTION
91.92.40.124,20,1,0.5,0.5,1.345,0.0,1.845,1.845,LOW,LOW,0,0,18,1.0,1.7376040498415628,2,11,0,NORMAL,NO_ACTION,NO_ACTION
167.99.150.169,24,1,0.4131,0.4131,1.4274,0.0,1.8405,1.8405,LOW,LOW,0,0,24,1.0,4.356392967700958,2,10,0,NORMAL,NO_ACTION,NO_ACTION
162.241.129.208,29,1,0.2941,0.2941,1.544,0.0,1.838,1.838,LOW,LOW,0,0,29,1.0,44304.748803933464,1,1,0,NORMAL,NO_ACTION,NO_ACTION
187.110.238.50,36,1,0.0,1.9506,1.8318,0.0,1.8318,3.7824,LOW,LOW,41,0,41,0.8780487804878049,92284.53012051979,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
43.156.71.43,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,40,0.9,94727.05701148113,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
34.78.29.97,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,37,0.972972972972973,90465.59763761758,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
152.32.129.236,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,41,0.8780487804878049,98807.76596994797,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
188.208.141.252,36,1,0.0,1.9252,1.8318,0.0,1.8318,3.7569,LOW,LOW,37,0,36,1.0,52.9932985663414,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
